days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
327	0.248876	0.004696	0.000744	0.000227	0.000470	0.000776	0.000092	0.744119	0.121106
328	0.248620	0.004562	0.000724	0.000214	0.000457	0.000767	0.000091	0.744566	0.121116
329	0.248377	0.004431	0.000698	0.000210	0.000443	0.000757	0.000090	0.744995	0.121126
330	0.248139	0.004305	0.000678	0.000200	0.000427	0.000746	0.000090	0.745415	0.121135
331	0.247909	0.004176	0.000660	0.000197	0.000413	0.000735	0.000090	0.745819	0.121144
332	0.247684	0.004057	0.000639	0.000189	0.000405	0.000723	0.000089	0.746214	0.121152
333	0.247466	0.003939	0.000620	0.000184	0.000392	0.000712	0.000087	0.746600	0.121160
334	0.247255	0.003822	0.000604	0.000180	0.000380	0.000698	0.000086	0.746975	0.121168
335	0.247049	0.003711	0.000586	0.000175	0.000370	0.000686	0.000085	0.747339	0.121176
336	0.246846	0.003607	0.000567	0.000169	0.000360	0.000670	0.000084	0.747697	0.121183
337	0.246648	0.003503	0.000555	0.000165	0.000349	0.000656	0.000083	0.748043	0.121189
338	0.246456	0.003405	0.000535	0.000163	0.000339	0.000644	0.000081	0.748378	0.121196
339	0.246271	0.003305	0.000523	0.000155	0.000327	0.000629	0.000080	0.748710	0.121203
340	0.246090	0.003212	0.000505	0.000153	0.000318	0.000615	0.000078	0.749029	0.121208
341	0.245913	0.003124	0.000487	0.000147	0.000308	0.000602	0.000078	0.749340	0.121214
342	0.245740	0.003037	0.000477	0.000140	0.000301	0.000589	0.000076	0.749639	0.121220
343	0.245572	0.002952	0.000465	0.000140	0.000291	0.000575	0.000075	0.749930	0.121225
344	0.245410	0.002870	0.000451	0.000136	0.000284	0.000563	0.000073	0.750213	0.121231
